,YEAR,SERIAL,MONTH,PERNUM,WTFINL,CPSIDP,AGE,SEX,RACE,HISPAN,EMPSTAT,EDUC
841741,2020,14186,11,2,3344.8627,20191001444802,76,1,100,0,36,92
1957233,2021,33615,9,1,3275.9614,20200703404201,77,2,100,0,36,92
3041139,2022,2288,8,2,1042.9827,20210500222502,26,1,300,0,10,60
3264417,2022,14668,10,2,3833.4435,20220701475302,25,2,100,200,10,73
3084398,2022,30718,8,1,4188.5561,20210803038101,52,2,100,0,32,60
2944705,2022,5452,7,2,5685.2384,20210600545603,31,1,100,500,10,73
1676297,2021,57632,6,5,5402.2902,20210505800305,21,1,100,0,10,81
1093534,2021,34183,1,1,3328.0344,20200103481901,70,2,100,0,36,123
2314283,2021,65442,12,1,755.0253,20200906567101,61,1,100,0,10,73
606847,2020,7993,9,3,6413.419,20190900811502,30,1,801,0,10,73
2814357,2022,55645,5,1,3499.7333,20210505544201,27,2,100,0,10,123
2650486,2022,16774,4,1,4308.4326,20220401677401,52,1,100,0,10,81
1955560,2021,32460,9,1,1216.3066,20210903246001,85,1,100,0,36,73
1328872,2021,45095,3,2,3640.0004,20210304509502,37,2,100,0,10,91
3557294,2023,11447,1,2,1295.0793,20221201880402,46,1,652,200,21,73
1664093,2021,49493,6,3,2524.9347,20210604949303,2,1,803,0,0,1
743307,2020,22925,10,4,6506.6468,20191002335504,9,2,100,0,0,1
2518497,2022,64546,2,3,4411.1806,20210106498503,5,1,100,0,0,1
2460971,2022,25395,2,1,2546.1663,20201202552101,28,2,200,0,32,73
1340485,2021,52439,3,1,3505.0689,20210205246401,80,2,100,612,36,111
418222,2020,14938,7,1,4552.5263,20200401529701,63,2,200,0,21,92
953911,2020,15226,12,1,4619.065,20200901522601,41,2,100,0,10,81
2766211,2022,23715,5,1,2763.9362,20220302362801,47,2,100,0,10,111
2734344,2022,3870,5,2,1513.0668,20210200384802,35,1,100,0,32,73
2448544,2022,17767,2,1,3898.5232,20201201779701,60,1,100,0,10,92
2999392,2022,42578,7,2,5013.2472,20210404267802,62,2,100,0,21,111
3619889,2023,54377,1,2,4342.261,20211102007002,55,2,100,0,10,81
18597,2020,11257,3,1,3008.7278,20200201122801,74,1,100,0,36,73
356822,2020,38206,6,3,1530.6367,20200403879103,0,1,100,0,0,1
3606979,2023,45543,1,2,7035.5002,20220101682702,33,1,200,0,10,73
3044253,2022,4469,8,3,1714.1644,20210800441203,8,1,100,0,0,1
797613,2020,56506,10,2,2445.5023,20200905637602,40,2,100,0,10,73
2209344,2021,63279,11,1,2778.2047,20200906355901,75,1,100,0,36,30
1944311,2021,24993,9,1,3323.6834,20210802501001,37,2,100,0,34,111
27666,2020,18351,3,2,3752.6191,20191201828002,56,1,100,0,10,111
475017,2020,55590,7,3,6884.829,20190705654903,37,2,200,0,34,73
448570,2020,36271,7,1,1306.8043,20200603645901,78,1,100,0,36,60
1651517,2021,41090,6,1,4122.3761,20200404241701,34,2,651,0,10,125
2368026,2022,31858,1,2,2401.6962,20201003202302,13,1,100,0,0,1
1779704,2021,55880,7,3,3095.2938,20210505633003,2,2,100,100,0,1
1214552,2021,40647,2,2,1062.7356,20200204145102,57,2,100,0,10,73
1749864,2021,35983,7,1,1042.6509,20200503692501,42,2,651,0,10,111
2653913,2022,18923,4,3,1262.2895,20220201870703,18,1,813,0,34,73
1333340,2021,48018,3,1,3849.6401,20210204810901,45,1,100,0,10,73
1776906,2021,54071,7,1,722.6063,20210705407101,64,1,100,0,36,73
975067,2020,28109,12,1,4379.2822,20201102812701,56,2,100,0,10,81
666671,2020,45144,9,1,3419.3473,20200604542801,65,1,100,0,36,73
1523555,2021,28453,5,1,3102.009,20210502845301,77,2,100,0,36,91
1381725,2021,8822,4,3,3379.7409,20200100913703,6,2,100,0,0,1
3622699,2023,56289,1,1,1789.0894,20211103591401,47,2,100,0,10,123
1192276,2021,26170,2,1,1227.7904,20191202669301,43,1,100,0,10,111
2076768,2021,43933,10,3,5850.3506,20210704368503,40,1,200,0,34,73
1833999,2021,22193,8,2,3729.0729,20210702215502,28,1,100,100,21,81
1037589,2020,68422,12,1,333.8109,20190906947101,60,2,100,0,32,73
549989,2020,38640,8,1,738.3451,20190803933001,80,2,100,0,36,81
3125959,2022,59028,8,2,6386.5719,20210605847902,35,2,200,0,34,71
2542091,2022,11029,3,1,865.4682,20211201095601,75,1,806,0,36,123
3578727,2023,26063,1,3,4677.1122,20221106661003,16,2,100,0,10,40
1778812,2021,55333,7,4,3100.247,20210405614004,12,1,100,0,0,1
1334954,2021,49035,3,3,3399.0514,20210104920103,28,1,100,0,10,81
1132534,2021,58926,1,2,3832.379,20201205876202,27,2,100,100,34,60
2314718,2021,65808,12,1,838.4613,20201006616401,54,1,100,0,10,111
844185,2020,15698,11,3,3892.2905,20200801569903,85,2,100,0,36,73
271435,2020,46176,5,1,2874.7604,20200204671501,70,2,100,0,36,111
2667141,2022,27366,4,2,1909.0262,20220402736602,73,2,100,0,10,123
3173216,2022,21649,9,1,4454.7866,20210702131201,65,1,100,0,36,81
672297,2020,48616,9,1,3483.3148,20190704952401,40,1,100,0,12,111
2125781,2021,7290,11,4,3176.4164,20210900736004,46,1,100,100,10,111
2136208,2021,14271,11,2,4557.1526,20201101446902,55,1,100,0,10,81
2198506,2021,56481,11,2,6187.9018,20210905604302,31,1,100,100,10,73
2159577,2021,29853,11,1,5454.3769,20201003014701,35,1,200,0,10,92
367967,2020,46919,6,1,427.2488,20190604774701,58,2,100,0,10,92
1787147,2021,60373,7,2,1655.9266,20200506193502,56,2,651,0,10,81
2923090,2022,59589,6,1,3957.1877,20220405956901,55,1,100,0,10,73
2215465,2021,67650,11,2,342.8828,20200806803202,16,1,100,0,34,60
983133,2020,33406,12,1,1126.5522,20191203413201,50,2,200,0,32,73
3146945,2022,4419,9,1,1535.2416,20210600436301,28,2,100,0,10,91
2334849,2022,9638,1,1,3235.356,20211100951901,27,2,100,0,10,111
2814624,2022,55824,5,1,3896.6158,20210505562001,53,2,100,0,10,81
3007638,2022,48251,7,6,3446.1917,20220504825206,72,2,100,0,36,91
165974,2020,41682,4,3,1747.8454,20190104232602,15,1,100,600,34,30
1643838,2021,35886,6,1,1318.9084,20210503613601,62,1,100,0,10,123
1498803,2021,13104,5,3,1019.9013,20200201355903,27,1,200,0,34,73
3254878,2022,7927,10,3,3577.418,20221000792703,4,1,100,0,0,1
907439,2020,54981,11,3,828.1235,20201105498103,3,1,100,0,0,1
1280475,2021,13793,3,2,4347.6104,20191201402502,21,2,100,0,34,73
1477226,2021,256,5,1,1977.4132,20210500025601,53,2,100,0,34,73
188679,2020,57912,4,2,3181.3163,20200105818802,50,2,100,100,10,91
2053326,2021,28353,10,3,7551.2116,20200702867404,0,1,200,0,0,1
3067031,2022,19440,8,2,852.2294,20220501946402,42,2,100,0,10,111
3391815,2022,32739,11,1,1378.7819,20211003254401,73,2,100,0,10,111
3366909,2022,15846,11,2,5448.919,20210901570802,59,1,100,0,36,73
1858696,2021,37841,8,2,799.4729,20210503812702,43,2,100,0,10,111
2720309,2022,63361,4,2,4717.4427,20220106311302,63,1,200,0,32,71
240414,2020,23637,5,1,1709.1562,20190202412201,73,1,100,0,10,73
218495,2020,7984,5,1,3004.3926,20190300821501,73,2,100,0,36,81
3405596,2022,42841,11,2,7021.1796,20210904237602,41,1,100,0,10,92
1397990,2021,19389,4,2,778.6104,20210101942902,74,2,100,0,36,111
98955,2020,66130,3,2,3327.6973,20181206680902,59,1,100,0,32,73
326922,2020,16985,6,3,8161.1418,20190601723003,65,1,100,100,10,73
3590242,2023,33690,1,1,7288.8102,20221005864401,24,1,100,100,10,81
2837963,2022,2590,6,2,3620.9112,20220500259202,59,2,100,0,10,125
1004558,2020,47616,12,4,4121.6805,20191204864904,18,1,100,100,10,81
2257122,2021,26370,12,2,1519.7628,20201102652302,53,2,100,0,34,50
3039036,2022,817,8,1,2324.556,20210700079101,50,2,100,0,32,73
2443855,2022,14627,2,1,4400.882,20201201468001,71,2,100,0,36,81
1822060,2021,14999,8,1,4429.0401,20210501503001,47,2,100,0,10,111
2708408,2022,55304,4,2,924.6676,20220305500402,32,1,100,0,12,73
980109,2020,31495,12,1,3993.6594,20191203216901,85,2,100,0,36,73
460931,2020,45129,7,4,5429.9185,20200704512904,12,1,100,0,0,1
994152,2020,40478,12,4,1166.8922,20201204047804,13,2,100,0,0,1
987429,2020,36207,12,1,530.3354,20201203620701,80,2,100,0,36,111
2146661,2021,21182,11,1,5590.3705,20200802136001,47,1,200,0,10,111
1105489,2021,42009,1,1,5832.9794,20200104279601,34,2,200,100,10,81
2210261,2021,63871,11,2,4115.4202,20200906416002,43,1,200,0,10,73
533386,2020,27988,8,8,4627.568,20200602811708,10,1,100,0,0,1
674457,2020,49928,9,3,5245.9651,20200904992803,13,2,803,0,0,1
631155,2020,23027,9,2,2879.3916,20190602348403,27,1,100,0,10,73
22559,2020,14756,3,5,5811.227,20200201473405,6,2,100,612,0,1
2713031,2022,58589,4,2,5883.2935,20210205875002,53,1,100,100,10,10
2426001,2022,3287,2,1,4153.0648,20220100327501,21,1,100,100,10,73
3081326,2022,28767,8,1,3640.5787,20210502856001,32,1,100,200,32,60
3176208,2022,23557,9,4,4064.1405,20210802326204,34,1,100,0,10,73
1946352,2021,26337,9,3,2425.7717,20200902665303,0,1,100,100,0,1
1794731,2021,65415,7,2,1014.3477,20210406639302,29,1,100,0,10,73
2011772,2021,2109,10,1,485.7114,20210900211001,68,1,100,0,34,73
2585154,2022,41125,3,1,874.7599,20210204142701,80,2,100,0,36,123
3404190,2022,41801,11,1,4498.2255,20220904177501,85,2,100,612,36,73
1670316,2021,53660,6,1,3254.8876,20210605366001,56,2,100,200,32,81
656274,2020,38571,9,2,1609.0626,20200903857102,19,2,200,0,34,73
175354,2020,48610,4,1,6468.7568,20190404908701,60,1,100,0,10,60
302065,2020,67940,5,1,2767.8652,20190506885201,85,1,100,0,36,92
991123,2020,38325,12,3,1183.3436,20201003837204,4,2,803,0,0,1
1044682,2021,3902,1,5,1950.7502,20191100392605,22,2,100,0,10,73
2071707,2021,40303,10,4,823.2956,20211004030304,7,2,100,100,0,1
2364427,2022,29615,1,3,2740.5614,20201102971303,15,1,100,0,34,40
2494684,2022,48825,2,2,2314.5586,20210204921402,48,2,100,0,10,111
823339,2020,3293,11,1,5620.8905,20201100329301,32,1,100,100,10,73
954286,2020,15449,12,2,3351.4018,20201201544902,80,1,100,0,36,111
1112466,2021,46670,1,2,486.207,20201204649802,46,2,100,0,10,81
1996986,2021,60111,9,2,2426.7325,20200906086902,48,1,100,0,10,81
909505,2020,56244,11,2,2219.5494,20201105624402,72,2,100,0,10,73
2418298,2022,66673,1,2,5814.2036,20201006686102,49,2,100,100,34,73
2186196,2021,48087,11,4,2417.8073,20210904768704,4,1,100,0,0,1
2481179,2022,39148,2,2,6471.6946,20211203910702,47,2,200,0,10,123
2035743,2021,17146,10,1,5781.1723,20200801729901,24,1,100,0,10,73
564335,2020,48740,8,1,3820.6177,20200804874001,72,2,100,100,36,123
500384,2020,5101,8,3,6114.7744,20190500522503,6,1,100,100,0,1
2590993,2022,45341,3,1,4977.7952,20220204537001,37,2,100,0,34,123
767723,2020,37883,10,3,1850.8194,20200903776703,4,2,100,0,0,1
932254,2020,1380,12,2,2304.375,20191100138302,29,2,100,0,34,73
1174790,2021,15739,2,2,3995.9029,20210101582302,33,2,100,0,10,73
1234166,2021,53473,2,2,870.6676,20191105447802,49,2,100,0,10,111
1919705,2021,8958,9,2,8392.66,20200600918402,3,2,100,600,0,1
701522,2020,66888,9,1,3551.1509,20190806817401,62,1,100,0,10,81
1641373,2021,34324,6,14,4247.473,20200603489113,17,2,100,0,34,30
2492254,2022,47046,2,1,5011.6722,20210204742701,51,2,100,0,10,111
199303,2020,65166,4,2,3592.884,20190106620902,41,1,100,0,10,91
425902,2020,20583,7,1,3929.2086,20190702091801,71,1,100,0,10,111
387417,2020,61450,6,9,1123.6871,20200406234009,72,1,100,0,36,73
513819,2020,14307,8,2,4069.4819,20190601454202,60,1,100,0,32,91
210621,2020,3007,5,1,5171.657,20200400299501,43,2,100,0,10,81
1657705,2021,45244,6,1,373.3419,20210404587601,70,1,100,0,36,111
1161690,2021,7282,2,1,3261.6522,20201200731201,64,1,100,0,10,73
2412726,2022,62824,1,3,7125.6034,20211106256103,12,1,200,0,0,1
1299184,2021,25257,3,3,5480.5901,20210302525703,15,1,100,0,34,30
177887,2020,50348,4,2,2332.6169,20200405034802,4,2,100,0,0,1
2482894,2022,40435,2,7,1037.6542,20210104083007,25,2,300,0,10,92
721269,2020,9276,10,1,3161.5318,20190700951301,55,2,100,0,32,50
1013153,2020,52972,12,2,1080.615,20200905292802,44,2,100,200,10,73
2130905,2021,10102,11,2,4094.4546,20200801027302,59,1,100,0,36,123
1443304,2021,47896,4,3,4788.4198,20200404887603,21,1,100,0,10,81
2829055,2022,65081,5,6,829.2639,20220306499006,14,1,100,0,0,1
205166,2020,69061,4,2,277.2075,20200306938302,64,2,100,0,10,123
1592508,2021,3870,6,1,1805.2677,20200600391401,31,2,100,0,10,81
183664,2020,54282,4,1,895.8123,20200105446901,59,1,100,0,10,91
3125696,2022,58858,8,3,5517.0463,20220805885803,16,1,100,612,34,71
3087303,2022,32585,8,1,1682.5192,20220703270401,32,1,200,0,10,50
2953512,2022,10608,7,4,4216.8491,20220501057204,26,2,100,0,12,111
2936172,2022,68472,6,1,337.3019,20220306827101,67,2,100,0,10,123
596984,2020,2447,9,4,3414.4214,20190700251204,16,1,100,100,32,60
3559349,2023,12868,1,1,2854.8453,20221202948401,70,1,100,0,10,81
1082465,2021,27003,1,5,1358.8657,20191102745504,8,2,100,0,0,1
3417407,2022,51186,11,1,3605.8241,20220805112001,85,2,100,0,36,73
3083537,2022,30137,8,1,5086.6129,20220503016701,47,1,100,0,10,111
3173788,2022,22086,9,1,3659.1796,20210602179701,75,1,100,0,36,73
3616839,2023,52397,1,1,4531.254,20211100505301,57,1,100,0,32,73
1565188,2021,54951,5,5,817.7254,20210505495105,6,2,802,0,0,1
1680338,2021,60065,6,3,2046.6372,20210306099203,23,2,100,0,32,81
